1,2,3,4,5,human
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-2.4584821999674266e-06,5
-11.512925464970229,-11.512925464970229,-11.375012,-1.2113979000001733e-05,-11.512925464970229,5
-7.1262345,-0.0012347568999999795,-7.7512345,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.12504,-4.048444999996234e-05,5
-0.12714165,-2.1271417,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-3.142497399995047e-05,-10.375031,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-2.577685999980972e-06,5
-2.3502092,-0.10020924999999997,-11.512925464970229,-11.512925464970229,-11.512925464970229,5
-3.288054,-0.038054003999999954,-11.288054,-11.512925464970229,-11.512925464970229,2
-4.3875494,-0.012549209000000037,-10.137549,-11.512925464970229,-11.512925464970229,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.000017,-1.70013299999967e-05,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-9.372295000039236e-06,5
-11.512925464970229,-2.5791998,-0.07919985999999996,-8.0792,-11.512925464970229,2
-2.5789375,-0.07893748999999999,-9.953938,-11.512925464970229,-11.512925464970229,2
-1.1368718,-0.38687184,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-4.512205,-0.012205164000000051,-6.762205,-11.512925464970229,2
-11.512925464970229,-0.007612305700000041,-4.882612,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.012510470999999967,-4.3875103,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.375031,-3.154417599996624e-05,5
-11.512925464970229,-2.6956863,-0.07068645999999996,-7.1956863,-11.512925464970229,2
-8.502481,-0.0024813657999999753,-6.1274815,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-8.62518,-0.00017982253000000206,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-9.253091000041948e-06,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-6.153795799976608e-06,5
-11.512925464970229,-1.6005971,-0.22559718999999998,-8.600597,-11.512925464970229,3
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.018152866999999955,-4.0181527,4
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.375011,-1.175636799998454e-05,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.02630122600000002,-3.6513011,4
-11.512925464970229,-1.1368897,-0.3868896700000001,-11.261889,-11.512925464970229,3
-0.8259403,-0.5759403,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-9.250392,-0.00039206559999995834,-8.125392,-11.512925464970229,-11.512925464970229,4
-3.7697225000141683e-06,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-3.888926000029215e-06,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-2.1008713999955396e-06,5
-11.512925464970229,-11.512925464970229,-11.125016,-1.6286107000000456e-05,-11.512925464970229,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.0005542247699999821,-7.500554,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.500028,-2.7848861999948026e-05,5
-2.577685999980972e-06,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-6.876368,-0.0013680962000000303,-8.0013685,-11.512925464970229,-11.512925464970229,1
-0.00904480299999997,-4.7590446,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.5000105,-1.0445126999998585e-05,5
-11.512925464970229,-2.9322262,-0.057226102999999945,-6.057226,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-1.7432603000283918e-06,5
-0.042999200000000036,-3.1679993,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-7.362307000004661e-05,-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-1.9102317,-0.16023174,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.500028,-2.7729658999976948e-05,5
-0.0004777399999999876,-8.000478,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-8.62518,-0.00017982253000000206,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-1.981667499945265e-06,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.001703032999999955,-6.3767033,5
-4.167648999995498e-05,-10.250042,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.000046,-4.561020999999004e-05,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-9.12511,-0.00010926496000005127,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-8.180257999962072e-06,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.000018,-1.8074162999948422e-05,5
-2.5788913,-0.07889122000000003,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.8259403,-0.5759403,5
-8.62589,-0.0008893062999999836,-7.2508893,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.5000105,-1.0445126999998585e-05,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-5.877805,-0.002805348499999949,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-1.0087517000017692e-05,-11.512925464970229,5
-0.00120582699999997,-6.751206,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-1.5031914,-0.25319135,-8.628191,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-8.87514,-0.00014013138000000742,5
-8.875766,-0.0007662679400000518,-7.3757663,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.375011,-1.175636799998454e-05,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-1.8624638999875201e-06,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.875019,-1.9146994999995776e-05,5
-4.882615,-0.007615032599999966,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-2.9298906,-0.05489063600000003,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-5.512236499924152e-07,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-11.512925464970229,-6.630610599945426e-06,5
-11.512925464970229,-0.004622729999999946,-5.379623,-11.512925464970229,-11.512925464970229,1
-9.878229,-0.0032290519999999922,-5.753229,-11.512925464970229,-11.512925464970229,2
-0.25193029999999994,-1.5019302,-11.512925464970229,-11.512925464970229,-11.512925464970229,2
-0.38687282999999995,-1.1368728,-11.512925464970229,-11.512925464970229,-11.512925464970229,1
-11.512925464970229,-11.512925464970229,-11.512925464970229,-10.875019,-1.9266199999976404e-05,5
-11.512925464970229,-11.512925464970229,-11.512925464970229,-0.01815205000000005,-4.018152,5
-11.512925464970229,-11.512925464970229,-11.125016,-1.640531000002694e-05,-11.512925464970229,5
-11.512925464970229,-0.029758245000000037,-3.5297582,-11.512925464970229,-11.512925464970229,2
