low,up,y_test
4.621792558224387,5.0,4.6666665
1.6269401030389035,5.0,1.6666666
4.998610649775296,5.0,5.0
4.963142009863077,5.0,5.0
1.6269401030389035,5.0,5.0
4.834923953808838,5.0,5.0
4.963142009863077,5.0,5.0
4.834923953808838,5.0,5.0
2.6935552700986607,5.0,5.0
4.998610649775296,5.0,5.0
4.986412984509483,5.0,5.0
4.9644478459703265,5.0,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
3.4178606966842837,5.0,4.6666665
4.998610649775296,5.0,5.0
4.963142009863077,5.0,5.0
4.963142009863077,5.0,5.0
3.4178606966842837,5.0,4.6666665
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
4.963142009863077,5.0,5.0
4.998610649775296,5.0,5.0
4.493574502170148,5.0,5.0
4.621792558224387,5.0,5.0
3.070192731204469,5.0,5.0
4.834923953808838,5.0,5.0
1.8782501739117932,5.0,2.0
4.963142009863077,5.0,4.3333335
4.998610649775296,5.0,5.0
3.797860651384754,5.0,5.0
4.190785578042805,5.0,5.0
1.676051473104787,5.0,5.0
2.039549311259049,5.0,5.0
2.039549311259049,5.0,2.3333333
4.998610649775296,5.0,5.0
4.644784946459776,5.0,5.0
4.998610649775296,5.0,5.0
4.963142009863077,5.0,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
4.834923953808838,5.0,5.0
1.6427397256868908,5.0,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
4.963142009863077,5.0,5.0
3.546945594715153,5.0,5.0
1.6669284304589376,5.0,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
4.963142009863077,5.0,5.0
2.039549311259049,5.0,5.0
1.6269401030389035,4.666675361524799,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
4.834923953808838,5.0,5.0
4.998610649775296,5.0,5.0
1.6269401030389035,5.0,5.0
4.963142009863077,5.0,5.0
3.84876493869713,5.0,5.0
4.963142009863077,5.0,5.0
4.963142009863077,5.0,5.0
1.6269401030389035,5.0,5.0
4.963142009863077,5.0,5.0
4.998610649775296,5.0,5.0
3.976982994751369,5.0,5.0
4.998610649775296,5.0,5.0
4.998610649775296,5.0,5.0
1.5181072593773095,4.666675361524799,5.0
4.998610649775296,5.0,5.0
