low,up,y_test
4.148788414288528,5.0,5.0
1.8063262994850133,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
2.52899292307739,5.0,4.6666665
3.426121790696156,5.0,5.0
1.4661625529731888,5.0,2.6666667
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
2.3129929359519936,5.0,5.0
4.148788414288528,5.0,5.0
3.426121790696156,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,4.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,1.3333334
1.8063262994850133,5.0,5.0
1.513146208438076,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,5.0
1.3296592521847868,5.0,5.0
4.148788414288528,5.0,5.0
1.8063262994850133,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,4.333351199874089,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,5.0
1.4661625529731888,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.8063262994850133,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,4.666675361524799,5.0
4.148788414288528,5.0,5.0
4.148788414288528,4.666675361524799,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.6666666269302368,4.333351199874089,1.3333334
4.148788414288528,5.0,5.0
1.4661625529731888,5.0,2.6666667
1.513146208438076,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,5.0
4.148788414288528,5.0,2.0
1.1804666032259745,5.0,2.0
1.513146208438076,5.0,1.6666666
4.148788414288528,5.0,5.0
1.8501422385452397,5.0,2.3333333
2.3129929359519936,5.0,5.0
1.513146208438076,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.4661625529731888,4.333351199874089,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,1.3333334
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
2.52899292307739,5.0,5.0
2.52899292307739,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.6277795554367676,5.0,4.6666665
4.148788414288528,5.0,5.0
2.3129929359519936,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
2.52899292307739,5.0,5.0
3.6421217778215524,5.0,5.0
1.0,5.0,1.6666666
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.1311602814449437,5.0,1.6666666
1.513146208438076,5.0,4.3333335
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
2.52899292307739,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.4661625529731888,5.0,1.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,4.333351199874089,5.0
4.148788414288528,5.0,5.0
1.4661625529731888,5.0,1.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.8063262994850133,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,2.3333333
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.8221795438496236,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.4066429004971166,5.0,4.6666665
1.4661625529731888,5.0,1.3333334
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.8063262994850133,5.0,5.0
2.3689164354143335,5.0,5.0
1.513146208438076,5.0,2.6666667
4.148788414288528,5.0,5.0
1.6277795554367676,5.0,5.0
1.8063262994850133,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
3.6421217778215524,5.0,5.0
1.376642907649674,5.0,2.3333333
1.513146208438076,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,4.6666665
4.148788414288528,5.0,5.0
4.148788414288528,5.0,4.6666665
1.4661625529731888,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,5.0
4.148788414288528,5.0,5.0
3.6421217778215524,5.0,5.0
1.8063262994850133,5.0,2.6666667
1.8003113956665853,4.333351199874089,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.3296592521847868,5.0,3.6666667
2.52899292307739,5.0,4.0
1.8063262994850133,5.0,5.0
4.148788414288528,5.0,5.0
4.148788414288528,5.0,5.0
1.513146208438076,5.0,1.3333334
4.148788414288528,5.0,5.0
