1,2,3,4,5,fluency
-1.957298994064331,-0.39479896426200867,-1.769798994064331,-4.566673755645752,-7.472923755645752,3.0
-3.289407253265381,-0.8206573724746704,-0.7894073724746704,-2.805032253265381,-5.633157253265381,5.0
-4.450544357299805,-1.2630441188812256,-0.497419148683548,-2.4036691188812256,-6.169294357299805,5.0
-4.58773946762085,-1.21273934841156,-0.5096143484115601,-2.4627394676208496,-6.21273946762085,5.0
-5.128952980041504,-1.8945778608322144,-0.44145289063453674,-1.6602028608322144,-5.285202980041504,3.3333333333333335
-5.051480293273926,-2.098355293273926,-0.48898041248321533,-1.4108554124832153,-4.801480293273926,5.0
-4.221345901489258,-1.7525957822799683,-0.5494707822799683,-1.5338457822799683,-4.440095901489258,5.0
-5.185711860656738,-2.326336622238159,-0.49821168184280396,-1.2950866222381592,-4.545086860656738,5.0
-4.278895378112793,-2.091395139694214,-0.7945201396942139,-1.1226451396942139,-2.528895139694214,5.0
-3.6854734420776367,-1.0604734420776367,-0.6385984420776367,-2.3885984420776367,-5.669848442077637,5.0
-6.388403415679932,-3.1384034156799316,-0.7165284156799316,-0.8102784156799316,-4.075903415679932,4.666666666666667
-4.934557914733887,-2.1533076763153076,-0.5751827359199524,-1.2314326763153076,-4.090807914733887,4.333333333333333
-7.604490280151367,-4.690427780151367,-1.6279278993606567,-0.3623029291629791,-2.3623030185699463,5.0
-3.9147915840148926,-0.8835416436195374,-0.6647916436195374,-3.0710415840148926,-6.696041584014893,4.666666666666667
-4.561279773712158,-1.7331547737121582,-0.4987797439098358,-1.6550297737121582,-4.748779773712158,5.0
-3.0172250270843506,-0.7203500270843506,-0.9234750270843506,-2.8297250270843506,-5.72035026550293,5.0
-3.005995988845825,-0.8028709888458252,-0.8184959888458252,-2.912245988845825,-6.084120750427246,3.0
-5.214400768280029,-2.5425257682800293,-0.6519006490707397,-0.9956506490707397,-3.8706507682800293,5.0
