1,2,3,4,5,human
-5.0571675300598145,-3.6977925300598145,-2.1196675300598145,-1.5727925300598145,-0.44779253005981445,5
-1.2034436464309692,-1.3909436464309692,-1.3440686464309692,-2.4534435272216797,-2.2971935272216797,1
-1.8474955558776855,-2.2537455558776855,-1.8631205558776855,-2.6599955558776855,-0.6756206154823303,3
-4.151850700378418,-2.776850700378418,-1.526850700378418,-1.479975700378418,-0.7456007599830627,5
-4.346443176269531,-2.9870681762695312,-1.7214430570602417,-1.4714430570602417,-0.6433180570602417,4
-5.366135597229004,-3.803635358810425,-2.397385358810425,-1.6786353588104248,-0.3661353886127472,5
-1.9942643642425537,-1.7286393642425537,-1.2130143642425537,-1.9161393642425537,-1.4317643642425537,4
-1.4629490375518799,-1.3379490375518799,-1.3379490375518799,-2.30669903755188,-1.9629490375518799,3
-4.444936752319336,-3.351186752319336,-1.757436752319336,-1.398061752319336,-0.6324368119239807,5
-1.103142499923706,-2.118767499923706,-1.634392499923706,-2.759392499923706,-1.259392499923706,3
-2.8765759468078613,-2.6422009468078613,-1.6422009468078613,-1.7984509468078613,-0.6734508872032166,2
-3.1078062057495117,-2.4203062057495117,-1.6859312057495117,-1.9515562057495117,-0.6234311461448669,5
-4.117369174957275,-3.0236189365386963,-1.5392439365386963,-1.3048689365386963,-0.8048689961433411,5
-1.190459966659546,-1.377959966659546,-1.565459966659546,-2.456084966659546,-1.924834966659546,3
-1.972423791885376,-1.488048791885376,-1.253673791885376,-1.956798791885376,-1.581798791885376,4
-4.978342533111572,-4.259592533111572,-2.5564675331115723,-1.8845926523208618,-0.2908426523208618,4
-1.2242131233215332,-1.4429631233215332,-1.3804631233215332,-2.224213123321533,-2.239838123321533,4
-1.1654918193817139,-1.4311168193817139,-1.5561168193817139,-2.399866819381714,-1.9311168193817139,3
-5.833644390106201,-4.958644390106201,-2.724269390106201,-1.6930193901062012,-0.3023943305015564,4
-2.3325531482696533,-2.0513031482696533,-1.2700531482696533,-1.7388031482696533,-1.1606781482696533,4
-1.7158629894256592,-1.5127379894256592,-1.0752379894256592,-2.090862989425659,-2.028362989425659,1
-4.962884426116943,-3.8378844261169434,-2.0566344261169434,-1.6503844261169434,-0.43163445591926575,2
-2.7907025814056396,-1.8844525814056396,-1.3063275814056396,-1.8063275814056396,-1.0563275814056396,5
-3.0087499618530273,-2.2587499618530273,-1.415000081062317,-1.711875081062317,-0.8681250810623169,4
-5.1487274169921875,-3.8049776554107666,-1.8362276554107666,-1.3049776554107666,-0.6174776554107666,5
-0.8699859380722046,-1.5574859380722046,-1.6356109380722046,-2.854361057281494,-2.166861057281494,3
-1.3657885789871216,-1.3189135789871216,-1.1626635789871216,-2.350163459777832,-2.725163459777832,1
-2.2134368419647217,-1.6196868419647217,-1.2446868419647217,-2.0728118419647217,-1.2915618419647217,3
-1.9719176292419434,-1.6906676292419434,-1.1437926292419434,-1.9562926292419434,-1.5500426292419434,3
-5.200938701629639,-4.279063701629639,-2.2321889400482178,-1.4509389400482178,-0.450938880443573,5
