Method,Dataset,Dimension,Width_mean,Width_std,Coverage_mean,Coverage_std,Model
Boosted_cqr,Summeval,coherence,2.72786,0.10074609261268702,0.8780416666666666,0.018859403048170235,4omini
Boosted_cqr,Summeval,consistency,1.0050833333333333,0.08197161280172606,0.8775,0.01643626667065747,4omini
Boosted_cqr,Summeval,fluency,1.5382545833333334,0.12642907347375623,0.8868333333333334,0.017843710054407054,4omini
Boosted_cqr,Summeval,relevance,1.9974004166666668,0.0979796235019692,0.8742083333333334,0.01614015704818977,4omini
Boosted_lcp,Summeval,coherence,2.6708837500000002,0.04554149871342234,0.8734166666666667,0.019202677315727456,4omini
Boosted_lcp,Summeval,consistency,0.7555575,0.04595082355458747,0.89225,0.019661466777991642,4omini
Boosted_lcp,Summeval,fluency,0.9211608333333333,0.05130739014766165,0.8917916666666666,0.01420555430064263,4omini
Boosted_lcp,Summeval,relevance,1.90870625,0.053997911512734184,0.871875,0.011322800844557715,4omini
CHR,Summeval,coherence,2.4110541666666667,0.07297001098802137,0.8296250000000001,0.024100521349347318,4omini
CHR,Summeval,consistency,0.665075,0.05851193143872163,0.889875,0.013500279371311106,4omini
CHR,Summeval,fluency,0.9446,0.07768683263923973,0.888625,0.014396442029315724,4omini
CHR,Summeval,relevance,1.7423625,0.04971580168819569,0.8261666666666667,0.02037348823811245,4omini
CQR_asym,Summeval,coherence,2.908722083333333,0.16537142357026677,0.937625,0.023946217576203903,4omini
CQR_asym,Summeval,consistency,1.24622125,0.12640491563061104,0.94975,0.011612456154106002,4omini
CQR_asym,Summeval,fluency,1.6006058333333333,0.22070044401519842,0.9375416666666666,0.02358148778368223,4omini
CQR_asym,Summeval,relevance,2.1347429166666667,0.1251377341897295,0.9142083333333333,0.02424391883699318,4omini
CQR_sym,Summeval,coherence,2.87344,0.17983271502215978,0.9314583333333334,0.027560832663880767,4omini
CQR_sym,Summeval,consistency,1.1450212499999999,0.11105758535348863,0.941625,0.013007582337846728,4omini
CQR_sym,Summeval,fluency,1.4380554166666668,0.13974181564474925,0.9292083333333333,0.016444405207962923,4omini
CQR_sym,Summeval,relevance,2.0899995833333334,0.11900025135275438,0.9091666666666666,0.019984728364831287,4omini
LVD,Summeval,coherence,2.7288729166666665,0.07391050492296031,0.8975833333333333,0.016436048130889596,4omini
LVD,Summeval,consistency,1.0148333333333333,0.20394726737559213,0.9234583333333333,0.01897617418716455,4omini
LVD,Summeval,fluency,1.1149108333333333,0.15534375426988012,0.905875,0.02039520629106685,4omini
LVD,Summeval,relevance,2.0210220833333334,0.06432199983315133,0.8955,0.012665286524931853,4omini
R2CCP,Summeval,coherence,2.624325,0.14661461505328263,0.8963392857142857,0.031191479597333954,4omini
R2CCP,Summeval,consistency,0.68582,0.18592562054488349,0.9088333333333334,0.02492863376940655,4omini
R2CCP,Summeval,fluency,0.9213020833333334,0.16409608101590145,0.8935833333333334,0.027142530354095407,4omini
R2CCP,Summeval,relevance,1.9704754166666665,0.12153693583618812,0.897,0.02499482705101888,4omini
Boosted_cqr,Dialsumm,coherence,1.6111623809523812,0.050724605552844575,0.8726190476190475,0.017176007902836493,4omini
Boosted_cqr,Dialsumm,consistency,1.8498741058655221,0.20180209177216313,0.8680972818311875,0.018767607342121156,4omini
Boosted_cqr,Dialsumm,fluency,1.028797619047619,0.05577569813304426,0.8633333333333333,0.02478147515127446,4omini
Boosted_cqr,Dialsumm,relevance,1.654613658070678,0.159329252609557,0.8705826170009552,0.021214295205858165,4omini
Boosted_lcp,Dialsumm,coherence,1.5903109523809524,0.05657449308554573,0.8829999999999999,0.02277494456479811,4omini
Boosted_lcp,Dialsumm,consistency,1.8329713876967095,0.05661522387340496,0.8745350500715308,0.020162592669830327,4omini
Boosted_lcp,Dialsumm,fluency,1.0018242857142858,0.04936203930144287,0.8752857142857143,0.01885591128983219,4omini
Boosted_lcp,Dialsumm,relevance,1.7593252148997136,0.0796471826382746,0.8720152817574022,0.02538223719015139,4omini
CHR,Dialsumm,coherence,1.4840238095238094,0.04470466197972073,0.8303333333333334,0.021458708965736747,4omini
CHR,Dialsumm,consistency,1.5396471149260849,0.0568144460808846,0.8001430615164521,0.027416041317594675,4omini
CHR,Dialsumm,fluency,0.9915523809523811,0.044281133297682684,0.840095238095238,0.023798158206824824,4omini
CHR,Dialsumm,relevance,1.3983381088825213,0.047512280261416615,0.8052531041069723,0.022990258586657226,4omini
CQR_asym,Dialsumm,coherence,1.8733933333333335,0.15005242657514212,0.940047619047619,0.023508224961983883,4omini
CQR_asym,Dialsumm,consistency,2.434055317119695,0.38938301347584053,0.9229852169766333,0.023823762992866537,4omini
CQR_asym,Dialsumm,fluency,1.1766819047619046,0.12272297060817756,0.9439523809523809,0.019058350835539004,4omini
CQR_asym,Dialsumm,relevance,2.086627029608405,0.1531899773754719,0.9238299904489016,0.018401309451282977,4omini
CQR_sym,Dialsumm,coherence,1.7679104761904763,0.15777071614559543,0.9240952380952382,0.02414690359692643,4omini
CQR_sym,Dialsumm,consistency,2.4084849785407725,0.539118144038534,0.9199332379589891,0.03224986313704371,4omini
CQR_sym,Dialsumm,fluency,1.0765457142857142,0.07311210025281657,0.9337619047619048,0.016513416946370135,4omini
CQR_sym,Dialsumm,relevance,2.0632712511938873,0.19993565560339338,0.9157115568290354,0.021176728789509987,4omini
LVD,Dialsumm,coherence,1.7467980952380953,0.06431124843013296,0.9067142857142857,0.013967641301187847,4omini
LVD,Dialsumm,consistency,1.8984701955174057,0.08187146981578311,0.8919885550786838,0.01853813371511474,4omini
LVD,Dialsumm,fluency,1.2041761904761905,0.05309262037477005,0.884,0.01794667211804452,4omini
LVD,Dialsumm,relevance,1.7941150907354346,0.07767008253620791,0.8922636103151863,0.020418917644450908,4omini
R2CCP,Dialsumm,coherence,1.625567619047619,0.1337422257204213,0.9014761904761904,0.033773854307898726,4omini
R2CCP,Dialsumm,consistency,1.843555364806867,0.1287073860906698,0.9012875536480687,0.02394589400431813,4omini
R2CCP,Dialsumm,fluency,1.1356777777777778,0.12257292144979162,0.8964021164021163,0.02917863127052217,4omini
R2CCP,Dialsumm,relevance,1.7208956624839444,0.1394528133416312,0.9011461318051576,0.02753390619098187,4omini
Boosted_cqr,GEval,cosmos,3.12080612244898,0.25823163674216426,0.7799319727891157,0.08982803362325154,4omini
Boosted_cqr,GEval,drop,2.5839777777777777,0.22428415826224846,0.7831746031746032,0.062810518277156,4omini
Boosted_cqr,GEval,esnli,2.1306008771929825,0.4457807081186808,0.7578947368421053,0.1052404694241867,4omini
Boosted_cqr,GEval,gsm8k,3.2031533333333333,0.18648496238410833,0.8003333333333333,0.05517891484687026,4omini
Boosted_lcp,GEval,cosmos,3.4542108843537416,0.2463138461444896,0.7965986394557822,0.11544393168935001,4omini
Boosted_lcp,GEval,drop,2.9366063492063494,0.17133349394672304,0.8641269841269842,0.045429692497404,4omini
Boosted_lcp,GEval,esnli,1.9395394736842104,0.21564549042545458,0.8026315789473684,0.10877754020228454,4omini
Boosted_lcp,GEval,gsm8k,3.421016666666667,0.16512236650296724,0.8353333333333333,0.07407979543677222,4omini
CHR,GEval,cosmos,2.4715646258503403,0.21302901046459746,0.7078231292517007,0.06030766345062397,4omini
CHR,GEval,drop,1.8164761904761904,0.2572373663213596,0.6844444444444445,0.05679881836779432,4omini
CHR,GEval,esnli,1.278201754385965,0.13804255116606415,0.556578947368421,0.07727740736084128,4omini
CHR,GEval,gsm8k,2.267233333333333,0.38406129928592814,0.7026666666666667,0.06837691349315629,4omini
CQR_asym,GEval,cosmos,3.9460952380952383,0.13835489600121512,0.9955782312925171,0.012187094781692285,4omini
CQR_asym,GEval,drop,3.8895238095238094,0.20100893841415712,0.9819047619047618,0.03377377327687,4omini
CQR_asym,GEval,esnli,2.975745614035088,0.5809289953410117,0.9666666666666667,0.03468079219233939,4omini
CQR_asym,GEval,gsm8k,3.9362266666666668,0.16731442614252456,0.9926666666666667,0.015959719411009727,4omini
CQR_sym,GEval,cosmos,3.595517006802721,0.30555802990930414,0.9642857142857142,0.03439557981212056,4omini
CQR_sym,GEval,drop,3.7726190476190475,0.1324286567482923,0.9653968253968254,0.028678871143471767,4omini
CQR_sym,GEval,esnli,3.3484078947368423,0.6622940003542565,0.9530701754385965,0.06553337935723039,4omini
CQR_sym,GEval,gsm8k,3.575823333333333,0.364152252814513,0.9483333333333334,0.03806376984368,4omini
LVD,GEval,cosmos,3.1800510204081633,0.1673793131134894,0.8343537414965987,0.052008954751844874,4omini
LVD,GEval,drop,2.3254285714285716,0.29004074713534156,0.7911111111111111,0.07087065452566373,4omini
LVD,GEval,esnli,3.000890350877193,0.45950168576482403,0.9118421052631579,0.06557587831069678,4omini
LVD,GEval,gsm8k,3.0969333333333333,0.24594777036421073,0.8450000000000001,0.06688899708498017,4omini
R2CCP,GEval,cosmos,3.086408163265306,0.5334594303167031,0.867687074829932,0.07983071630629616,4omini
R2CCP,GEval,drop,2.54311746031746,0.4362502995189517,0.866984126984127,0.05868117307980427,4omini
R2CCP,GEval,esnli,2.1953265107212476,0.4264396412075036,0.8801169590643275,0.07172917275433749,4omini
R2CCP,GEval,gsm8k,2.4297666666666666,0.7626169777238399,0.8466666666666666,0.08001436652611027,4omini
Boosted_cqr,SocREval,cosmos,3.1543945578231294,0.2631621826042324,0.8006802721088435,0.06783105663011244,4omini
Boosted_cqr,SocREval,drop,2.634412698412698,0.31843476401608495,0.7857142857142858,0.07041980614060316,4omini
Boosted_cqr,SocREval,esnli,1.8202236842105262,0.20334715598988284,0.8026315789473684,0.06455280526137054,4omini
Boosted_cqr,SocREval,gsm8k,3.0836833333333336,0.32532544351065174,0.825,0.0573404833820117,4omini
Boosted_lcp,SocREval,cosmos,3.605,0.2856733935751655,0.8391156462585034,0.11701167826664045,4omini
Boosted_lcp,SocREval,drop,2.919120634920635,0.21818869608035385,0.853968253968254,0.045388365634604896,4omini
Boosted_lcp,SocREval,esnli,1.8755175438596494,0.20557868720883557,0.8122807017543859,0.0862428682870196,4omini
Boosted_lcp,SocREval,gsm8k,3.3566266666666666,0.15788155738058685,0.8593333333333334,0.06113486128525863,4omini
CHR,SocREval,cosmos,2.54078231292517,0.276335132630569,0.7306122448979592,0.07462920639919199,4omini
CHR,SocREval,drop,1.8614285714285714,0.19278887477882684,0.6892063492063493,0.06432594172043551,4omini
CHR,SocREval,esnli,1.3630701754385965,0.14908937029499178,0.7223684210526317,0.07501949948697567,4omini
CHR,SocREval,gsm8k,1.9822666666666668,0.481060820108724,0.7866666666666667,0.047002078701892006,4omini
CQR_asym,SocREval,cosmos,3.8992789115646262,0.20537794302120885,0.9870748299319728,0.026109544079571088,4omini
CQR_asym,SocREval,drop,3.9128190476190476,0.21481780695947758,0.986031746031746,0.033993770117595565,4omini
CQR_asym,SocREval,esnli,2.8701885964912277,0.561200233794576,0.9666666666666667,0.034680792192339376,4omini
CQR_asym,SocREval,gsm8k,3.891586666666667,0.19907185106151373,0.988,0.021074580210160412,4omini
CQR_sym,SocREval,cosmos,3.533741496598639,0.25903312069370366,0.9527210884353742,0.03906180957874574,4omini
CQR_sym,SocREval,drop,3.8191301587301587,0.17716188031643826,0.966984126984127,0.032100917316143146,4omini
CQR_sym,SocREval,esnli,3.0409605263157897,0.5805864842686622,0.9662280701754385,0.04708568235789795,4omini
CQR_sym,SocREval,gsm8k,3.525593333333333,0.40359478648535707,0.9566666666666667,0.03575137647056724,4omini
LVD,SocREval,cosmos,3.1015748299319723,0.17678687611300217,0.8394557823129252,0.05298357695876984,4omini
LVD,SocREval,drop,2.4949111111111106,0.2776208582842184,0.8304761904761905,0.050171338302998504,4omini
LVD,SocREval,esnli,2.1652719298245615,0.32299832331711403,0.8618421052631579,0.06110842153376147,4omini
LVD,SocREval,gsm8k,3.0787,0.30888958522758425,0.8956666666666667,0.04415359815332219,4omini
R2CCP,SocREval,cosmos,2.9618333333333333,0.4350107885597003,0.8585034013605441,0.07793035366963683,4omini
R2CCP,SocREval,drop,2.429952380952381,0.7600419262194587,0.8473015873015872,0.09974502902935008,4omini
R2CCP,SocREval,esnli,1.747958089668616,0.48420144905785245,0.8401559454191033,0.08618198560836904,4omini
R2CCP,SocREval,gsm8k,2.14515,1.0866043167624988,0.8506666666666667,0.0787371591428409,4omini
Boosted_cqr,Summeval,coherence,2.3639545833333333,0.07367718062509938,0.8897916666666668,0.015933872417899085,dsr1
Boosted_cqr,Summeval,consistency,1.1002841666666667,0.08478348266302385,0.893,0.014378653958391644,dsr1
Boosted_cqr,Summeval,fluency,1.1567062499999998,0.07577317272097417,0.894625,0.013993340472746543,dsr1
Boosted_cqr,Summeval,relevance,2.0042179166666667,0.11936412753716395,0.8898333333333334,0.017722517983575572,dsr1
Boosted_lcp,Summeval,coherence,2.316797916666667,0.04940131261816821,0.8670416666666667,0.016096701757542287,dsr1
Boosted_lcp,Summeval,consistency,0.7728333333333334,0.044576305091098695,0.8919583333333333,0.014148547405234241,dsr1
Boosted_lcp,Summeval,fluency,0.9318720833333334,0.07863368254806843,0.8909583333333334,0.017701071871564698,dsr1
Boosted_lcp,Summeval,relevance,1.9082625,0.04971209058600366,0.8689166666666667,0.016919985802010262,dsr1
CHR,Summeval,coherence,2.2281833333333334,0.04012535225612553,0.8706666666666667,0.016983553572619103,dsr1
CHR,Summeval,consistency,0.8194166666666667,0.08056949996563618,0.9117083333333333,0.011211540262491654,dsr1
CHR,Summeval,fluency,0.8989,0.0677008139944952,0.8923749999999999,0.017237407947792494,dsr1
CHR,Summeval,relevance,1.8690416666666667,0.055230427697766024,0.86375,0.01817064703837218,dsr1
CQR_asym,Summeval,coherence,2.7189429166666668,0.16723211728798423,0.928625,0.015572238505396876,dsr1
CQR_asym,Summeval,consistency,1.3030920833333333,0.1636991333038525,0.9512916666666666,0.01589798883037017,dsr1
CQR_asym,Summeval,fluency,1.4853291666666666,0.16445205573375316,0.9452499999999999,0.012363042812601066,dsr1
CQR_asym,Summeval,relevance,2.207235,0.14724579447773478,0.9205833333333333,0.024660918870557727,dsr1
CQR_sym,Summeval,coherence,2.67495625,0.1857922176042528,0.925,0.017982870201657338,dsr1
CQR_sym,Summeval,consistency,1.1560075,0.1651265864864141,0.9388333333333333,0.012486774612760687,dsr1
CQR_sym,Summeval,fluency,1.313615,0.10819547988957065,0.9300833333333334,0.013739938847761674,dsr1
CQR_sym,Summeval,relevance,2.1293025,0.16412040193023344,0.9105416666666667,0.01914014594462668,dsr1
LVD,Summeval,coherence,2.431749166666667,0.049941746230212906,0.9109999999999999,0.011282997584097862,dsr1
LVD,Summeval,consistency,0.9662858333333334,0.16440679732876712,0.9292916666666666,0.016679287606413865,dsr1
LVD,Summeval,fluency,0.99613125,0.08928363914675969,0.9109583333333333,0.01509910983522182,dsr1
LVD,Summeval,relevance,2.0361725,0.07528668923143744,0.901375,0.01572031274366449,dsr1
R2CCP,Summeval,coherence,2.3042181034482763,0.11715635469864462,0.9011637931034483,0.021281308434162375,dsr1
R2CCP,Summeval,consistency,0.6940849137931034,0.1342576474851665,0.9044396551724139,0.02093139891624855,dsr1
R2CCP,Summeval,fluency,0.8925608333333332,0.15115506577274995,0.900875,0.020772137132093145,dsr1
R2CCP,Summeval,relevance,1.9984391666666668,0.1482242680150317,0.8984166666666666,0.028982257751386707,dsr1
Boosted_cqr,Dialsumm,coherence,1.3097271428571429,0.05198164786719875,0.8860952380952382,0.017350683317612702,dsr1
Boosted_cqr,Dialsumm,consistency,1.8943742857142858,0.07980917524446653,0.8748095238095238,0.021757680690101894,dsr1
Boosted_cqr,Dialsumm,fluency,1.1050600000000002,0.04299937226846518,0.8806666666666666,0.01359271513575947,dsr1
Boosted_cqr,Dialsumm,relevance,1.705992857142857,0.12298840735092233,0.8738571428571428,0.020569478561107524,dsr1
Boosted_lcp,Dialsumm,coherence,1.3216266666666667,0.05077342901622076,0.8676666666666667,0.018801093494383917,dsr1
Boosted_lcp,Dialsumm,consistency,1.8831038095238095,0.04864445711557932,0.8605238095238096,0.02258920336894458,dsr1
Boosted_lcp,Dialsumm,fluency,1.0191585714285714,0.04319834544587425,0.8728095238095238,0.014498335624021145,dsr1
Boosted_lcp,Dialsumm,relevance,1.8243657142857144,0.05638453349253683,0.8723809523809524,0.018517668810490003,dsr1
CHR,Dialsumm,coherence,1.2555714285714286,0.04556467204418374,0.8780476190476191,0.022877095150478456,dsr1
CHR,Dialsumm,consistency,1.7613285714285714,0.05709885189832598,0.8609047619047618,0.017911673717441224,dsr1
CHR,Dialsumm,fluency,1.0562809523809524,0.04712024361850868,0.8778571428571429,0.018587526179841097,dsr1
CHR,Dialsumm,relevance,1.5334142857142858,0.05214352992345509,0.8522380952380952,0.017466901778871825,dsr1
CQR_asym,Dialsumm,coherence,1.5782152380952381,0.11648081857919845,0.932047619047619,0.018492379446243785,dsr1
CQR_asym,Dialsumm,consistency,2.5166871428571427,0.36549253279926197,0.9192380952380952,0.025213328616991312,dsr1
CQR_asym,Dialsumm,fluency,1.2213314285714285,0.1154996142518639,0.9403809523809523,0.01629657115139615,dsr1
CQR_asym,Dialsumm,relevance,2.4240161904761903,0.23881003335292633,0.9250952380952381,0.030794507066906975,dsr1
CQR_sym,Dialsumm,coherence,1.506592380952381,0.13236877291907032,0.9185238095238095,0.01589676111162329,dsr1
