1,2,3,4,5,consistency
-7.92927885055542,-4.079577922821045,-2.7804696559906006,-0.22020305693149567,-2.1554696559906006,4.666666666666667
-4.524812698364258,-1.1103801727294922,-1.5635032653808594,-0.8603801727294922,-3.706361770629883,4.333333333333333
-2.0484657287597656,-0.6712340712547302,-1.2895355224609375,-3.014984130859375,-3.3728694915771484,3.6666666666666665
-0.505364179611206,-0.9718844890594482,-4.567864418029785,-6.393759727478027,-8.511317253112793,1.0
-0.1177259162068367,-2.4332032203674316,-5.787369251251221,-8.05820369720459,-8.986773490905762,1.6666666666666667
-5.160426616668701,-1.011618971824646,-1.365785002708435,-0.995993971824646,-5.472926616668701,4.0
-7.98623514175415,-5.0554327964782715,-3.001115083694458,-0.30543264746665955,-1.587424635887146,4.333333333333333
-6.598299980163574,-3.0700275897979736,-2.193537950515747,-0.28877753019332886,-2.4316341876983643,4.666666666666667
-8.61052131652832,-4.856058120727539,-2.940877676010132,-0.38730788230895996,-1.3486154079437256,3.6666666666666665
-7.981424331665039,-4.140651702880859,-2.8921377658843994,-0.4375269114971161,-1.2701151371002197,4.0
-8.562393188476562,-6.863733291625977,-3.986499547958374,-0.5668581128120422,-0.891261875629425,4.333333333333333
-8.528122901916504,-6.264731407165527,-3.2900288105010986,-0.5147316455841064,-1.028123140335083,4.333333333333333
-8.453845024108887,-6.691196918487549,-3.9969983100891113,-0.456822007894516,-1.0654512643814087,4.333333333333333
-7.963293552398682,-4.072669506072998,-2.933530330657959,-0.40079447627067566,-1.3561511039733887,4.0
-8.829030990600586,-6.326798915863037,-2.576799154281616,-0.32679909467697144,-1.6266496181488037,4.666666666666667
-1.6650043725967407,-1.8636661767959595,-1.3636661767959595,-2.08241605758667,-1.3078609704971313,4.666666666666667
-1.0487830638885498,-0.7876232266426086,-1.7251231670379639,-4.631373405456543,-5.319615364074707,4.666666666666667
-0.11512426286935806,-2.670929431915283,-4.952179431915283,-8.295929908752441,-9.41572093963623,2.6666666666666665
-0.12105482071638107,-3.1976940631866455,-5.275818824768066,-7.978943824768066,-8.856175422668457,1.3333333333333333
-2.7176029682159424,-0.51447993516922,-1.2644798755645752,-3.061354875564575,-5.172961711883545,3.3333333333333335
-3.2204573154449463,-0.7256662845611572,-0.8975412845611572,-2.8037912845611572,-4.991289138793945,3.6666666666666665
-5.124049186706543,-1.1195857524871826,-0.6195858120918274,-2.0883357524871826,-6.180596351623535,4.0
-6.341525077819824,-2.128727912902832,-0.5349780321121216,-1.2693530321121216,-4.526047706604004,4.666666666666667
-8.597099304199219,-5.029392242431641,-1.7012670040130615,-0.2950170040130615,-2.7488839626312256,4.333333333333333
-7.6306986808776855,-3.9997475147247314,-1.312247633934021,-0.4059976041316986,-3.1366512775421143,5.0
-8.626426696777344,-5.041606903076172,-1.8541067838668823,-0.33848175406455994,-2.123450994491577,3.6666666666666665
-8.507050514221191,-6.456455707550049,-2.987705945968628,-0.37833088636398315,-1.3493125438690186,4.666666666666667
-5.234775543212891,-1.404418706893921,-0.5919187664985657,-1.670043706893921,-5.234775543212891,3.6666666666666665
-7.710450649261475,-4.2722086906433105,-1.678458571434021,-0.3815836012363434,-2.1896185874938965,3.3333333333333335
-0.6281332969665527,-0.9421229362487793,-2.8171229362487793,-5.785872936248779,-7.532895565032959,4.0
-2.013366937637329,-0.6510164737701416,-1.2291414737701416,-3.3541414737701416,-4.171104431152344,4.0
-0.9670396447181702,-0.5846009850502014,-2.9752259254455566,-6.131475925445557,-8.556326866149902,2.6666666666666665
-0.13645176589488983,-2.510709762573242,-4.276334762573242,-7.260709762573242,-8.320976257324219,1.0
-1.9717472791671753,-0.2730892598628998,-2.3980891704559326,-5.257464408874512,-8.489605903625488,2.6666666666666665
-3.993619441986084,-0.8782936334609985,-0.8626686334609985,-2.018918514251709,-4.663262844085693,3.3333333333333335
-1.8836721181869507,-0.25123345851898193,-2.7668585777282715,-6.0793585777282715,-9.130696296691895,3.6666666666666665
-0.20597420632839203,-2.098832607269287,-3.489457607269287,-5.833207607269287,-6.4410929679870605,2.0
-0.5052758455276489,-1.2091466188430786,-2.584146499633789,-4.474771499633789,-5.951704025268555,3.0
-1.1197779178619385,-0.4888269603252411,-2.9575769901275635,-6.238826751708984,-8.991802215576172,3.0
-0.7849991917610168,-0.7701199650764465,-2.7857449054718018,-5.332620143890381,-7.630237102508545,2.6666666666666665
-2.6549301147460938,-0.2055264562368393,-2.236776351928711,-5.143026351928711,-8.607311248779297,2.6666666666666665
-1.8049900531768799,-0.325825959444046,-2.2789509296417236,-4.888326168060303,-7.846658229827881,3.0
-6.679683208465576,-3.461678981781006,-1.3210539817810059,-0.47730398178100586,-2.572539806365967,4.333333333333333
-2.9780516624450684,-0.5703157186508179,-1.1484407186508179,-2.8203158378601074,-5.225076198577881,4.333333333333333
-3.886807441711426,-1.272969365119934,-0.7104693651199341,-1.819844365119934,-3.098116874694824,4.0
-1.7943077087402344,-0.3255596458911896,-2.309934616088867,-4.825559616088867,-7.895498275756836,3.6666666666666665
-1.5705852508544922,-0.37936586141586304,-2.348115921020508,-4.848115921020508,-7.850347518920898,3.6666666666666665
-6.011866569519043,-2.8474342823028564,-1.0661842823028564,-0.6755592823028564,-2.470200777053833,2.6666666666666665
-4.397645950317383,-1.3522605895996094,-0.7116356492042542,-1.5397605895996094,-3.802408218383789,3.3333333333333335
-7.085750102996826,-4.059709072113037,-1.7159593105316162,-0.6065842509269714,-1.3863446712493896,4.333333333333333
