low,up,y_test
3.2391297817230225,5.0,5.0
1.0000001192092896,5.0,2.0
1.2146474123001099,2.793156385421753,1.0
1.7396434545516968,5.0,3.0
2.922950267791748,5.0,3.0
3.228393793106079,5.0,5.0
2.6305739879608154,5.0,5.0
3.0370395183563232,5.0,5.0
3.2391297817230225,5.0,4.0
3.2391297817230225,5.0,5.0
3.207921028137207,5.0,3.0
1.7396434545516968,5.0,2.0
3.2391297817230225,5.0,4.0
3.2391295433044434,5.0,5.0
1.7396434545516968,5.0,5.0
3.2391295433044434,5.0,5.0
3.2391295433044434,5.0,4.0
1.7396434545516968,5.0,2.0
1.0000001192092896,5.0,4.0
1.0000001192092896,3.1503820419311523,1.0
3.2391297817230225,5.0,5.0
3.2391297817230225,5.0,5.0
1.0000001192092896,5.0,3.0
3.2391297817230225,5.0,5.0
1.7396434545516968,5.0,5.0
2.9720675945281982,5.0,5.0
1.7396434545516968,5.0,4.0
1.86418879032135,5.0,3.0
1.0000001192092896,5.0,3.0
2.9118452072143555,5.0,5.0
3.2391295433044434,5.0,5.0
1.7396434545516968,5.0,1.0
1.0000001192092896,3.695189952850342,2.0
3.2391297817230225,5.0,5.0
1.7396434545516968,5.0,5.0
3.2391295433044434,5.0,4.0
1.7396434545516968,5.0,5.0
2.8833067417144775,5.0,3.0
2.904956102371216,5.0,1.0
1.0000001192092896,5.0,3.0
1.0000001192092896,2.8133327960968018,3.0
3.2386789321899414,5.0,5.0
3.2391297817230225,5.0,4.0
3.1702065467834473,5.0,4.0
3.2391297817230225,5.0,5.0
3.1410090923309326,5.0,5.0
1.7396434545516968,5.0,2.0
1.0000001192092896,3.7078003883361816,1.0
3.162696599960327,5.0,5.0
1.0000001192092896,3.8675620555877686,2.0
1.0000001192092896,3.6490774154663086,1.0
3.1605942249298096,5.0,5.0
3.2391295433044434,5.0,5.0
3.2391297817230225,5.0,5.0
1.7396434545516968,5.0,2.0
1.0000001192092896,3.714306354522705,1.0
2.3207600116729736,5.0,1.0
1.0000001192092896,3.3608131408691406,5.0
3.1257970333099365,5.0,3.0
2.5925180912017822,5.0,5.0
1.0000001192092896,3.6680872440338135,2.0
1.7396434545516968,5.0,5.0
3.228394031524658,5.0,5.0
3.2391297817230225,5.0,5.0
1.0000001192092896,3.5697903633117676,3.0
1.7396434545516968,5.0,3.0
1.7396434545516968,5.0,5.0
1.0000001192092896,2.777979850769043,3.0
1.7396434545516968,5.0,2.0
3.2391297817230225,5.0,5.0
3.2391295433044434,5.0,4.0
1.7396434545516968,5.0,4.0
3.2391295433044434,5.0,5.0
3.0968234539031982,5.0,5.0
3.2391297817230225,5.0,5.0
3.2391293048858643,5.0,3.0
2.7999134063720703,5.0,1.0
2.5332295894622803,5.0,3.0
1.7396434545516968,5.0,4.0
3.1334710121154785,5.0,3.0
1.0000001192092896,5.0,3.0
2.7170095443725586,5.0,5.0
3.2391297817230225,5.0,4.0
3.2391295433044434,5.0,1.0
3.2391295433044434,5.0,4.0
3.2391297817230225,5.0,5.0
3.2391295433044434,5.0,5.0
1.7396434545516968,5.0,5.0
3.2391297817230225,5.0,3.0
1.7396434545516968,5.0,1.0
1.0000001192092896,5.0,2.0
2.3207600116729736,5.0,1.0
2.746591806411743,5.0,5.0
1.0000001192092896,3.0183615684509277,1.0
1.0000001192092896,5.0,5.0
3.0037524700164795,5.0,4.0
3.2391295433044434,5.0,5.0
3.2391297817230225,5.0,5.0
3.188450813293457,5.0,5.0
1.0000001192092896,5.0,3.0
3.2391297817230225,5.0,5.0
2.6920154094696045,5.0,4.0
1.7396434545516968,5.0,4.0
1.0000001192092896,3.696849822998047,1.0
3.2391300201416016,5.0,4.0
